Science,http://dbpedia.org/resource/Golden_Gate_Cloning
Geography and places,http://dbpedia.org/resource/Whitsunday_Region
Science,http://dbpedia.org/resource/Wind_ENergy_Data_%26_Information_(WENDI)_Gateway
Politics and government,http://dbpedia.org/resource/John_Claude_Hamilton
Politics and government,"http://dbpedia.org/resource/List_of_mayors_of_Little_Rock,_Arkansas"
Geography and places,"http://dbpedia.org/resource/Hyland_Hotel_(Palmer,_Alaska)"
Politics and government,"http://dbpedia.org/resource/South_Carolina%27s_5th_congressional_district_special_election,_2017"
Geography and places,http://dbpedia.org/resource/Wyoming_Highway_317
Sport and recreation,http://dbpedia.org/resource/Yugoslavia_at_the_1979_Mediterranean_Games
History,http://dbpedia.org/resource/Rolling_Mill_Mine
Geography and places,http://dbpedia.org/resource/Kiby
Business,http://dbpedia.org/resource/Chilli_Beans
Sport and recreation,"http://dbpedia.org/resource/Fred_Scott_(footballer,_born_1874)"
Sport and recreation,http://dbpedia.org/resource/Greville_Starkey
Warfare,http://dbpedia.org/resource/USS_Kendall_C._Campbell
Sport and recreation,http://dbpedia.org/resource/Hermans_Egleskalns
Music,http://dbpedia.org/resource/Karl_Engemann
Politics and government,http://dbpedia.org/resource/Foreign_relations_of_Liechtenstein
History,http://dbpedia.org/resource/Boleslaw_of_Sweden
History,http://dbpedia.org/resource/20_yen_coin
Music,http://dbpedia.org/resource/Acabou_Chorare
Geography and places,http://dbpedia.org/resource/Prague
Science,http://dbpedia.org/resource/Sun
Biology,http://dbpedia.org/resource/Carphephorus
Sport and recreation,http://dbpedia.org/resource/Sudan_at_the_2004_Summer_Olympics
Art,http://dbpedia.org/resource/Mikhail_Reva
Warfare,http://dbpedia.org/resource/293rd_Rifle_Division_(Soviet_Union)
Sport and recreation,http://dbpedia.org/resource/List_of_teams_and_cyclists_in_the_1950_Tour_de_France
Sport and recreation,http://dbpedia.org/resource/Adrian_Diaconu
Music,http://dbpedia.org/resource/Coldplay
Politics and government,http://dbpedia.org/resource/Terry_Bruce_(politician)
Language,http://dbpedia.org/resource/Languages_of_Cyprus
Music,http://dbpedia.org/resource/Eire_Apparent
Sport and recreation,http://dbpedia.org/resource/Wang_Fan_(footballer)
Sport and recreation,http://dbpedia.org/resource/Pedro_Gomes_(triathlete)
History,http://dbpedia.org/resource/Rajendra_Choda_II
Business,http://dbpedia.org/resource/IForIndia
Education,http://dbpedia.org/resource/Royal_Microscopical_Society
Engineering and Technology,http://dbpedia.org/resource/Mott_B._Schmidt
Media,http://dbpedia.org/resource/Kaun_Hai_Jo_Sapno_Mein_Aaya
Media,http://dbpedia.org/resource/Beast_Wars:_The_Gathering
Geography and places,http://dbpedia.org/resource/San_Pedro_Juchatengo
Sport and recreation,http://dbpedia.org/resource/Ngozi_Ebere
Warfare,http://dbpedia.org/resource/Frederick_Tees
Media,http://dbpedia.org/resource/Crash_(1974_film)
